Year,Month,Day,Global Solar Radiation (MJ/m&sup2;) - King's Park_Value,completeness
1979,6,8,11.72,C
1979,6,9,9.58,C
1979,6,10,12.08,C
1979,6,11,3.71,C
1979,6,12,9.71,C
1979,6,13,6.80,C
1979,6,14,19.97,C
1979,6,15,23.35,C
1979,6,16,20.91,C
1979,6,17,4.52,C
1979,6,18,18.44,C
1979,6,19,26.69,C
1979,6,20,27.22,C
1979,6,21,24.46,C
1979,6,22,17.32,C
1979,6,23,17.70,C
1979,6,24,16.68,C
1979,6,25,14.41,C
1979,6,26,16.20,C
1979,6,27,11.66,C
1979,6,28,10.51,C
1979,6,29,4.03,C
1979,6,30,5.65,C
1979,7,1,13.95,C
1979,7,2,21.27,C
1979,7,3,28.29,C
1979,7,4,25.48,C
1979,7,5,21.87,C
1979,7,6,12.69,C
1979,7,7,25.33,C
1979,7,8,24.84,C
1979,7,9,23.26,C
1979,7,10,22.46,C
1979,7,11,16.42,C
1979,7,12,21.54,C
1979,7,13,26.78,C
1979,7,14,25.89,C
1979,7,15,25.32,C
1979,7,16,25.17,C
1979,7,17,27.26,C
1979,7,18,27.76,C
1979,7,19,25.73,C
1979,7,20,27.19,C
1979,7,21,24.25,C
1979,7,22,26.69,C
1979,7,23,26.68,C
1979,7,24,24.85,C
1979,7,25,22.16,C
1979,7,26,26.84,C
1979,7,27,17.62,C
1979,7,28,19.36,C
1979,7,29,6.89,C
1979,7,30,3.53,C
1979,7,31,5.75,C
1979,8,1,26.65,C
1979,8,2,1.19,C
1979,8,3,10.34,C
1979,8,4,12.92,C
1979,8,5,25.64,C
1979,8,6,7.70,C
1979,8,7,12.98,C
1979,8,8,15.96,C
1979,8,9,7.19,C
1979,8,10,7.52,C
1979,8,11,14.15,C
1979,8,12,10.23,C
1979,8,13,16.15,C
1979,8,14,27.38,C
1979,8,15,25.62,C
1979,8,16,23.29,C
1979,8,17,8.96,C
1979,8,18,8.52,C
1979,8,19,4.72,C
1979,8,20,9.13,C
1979,8,21,18.96,C
1979,8,22,21.32,C
1979,8,23,12.02,C
1979,8,24,15.32,C
1979,8,25,17.29,C
1979,8,26,11.59,C
1979,8,27,24.77,C
1979,8,28,16.82,C
1979,8,29,11.36,C
1979,8,30,11.04,C
1979,8,31,11.46,C
1979,9,1,11.33,C
1979,9,2,11.19,C
1979,9,3,23.42,C
1979,9,4,19.28,C
1979,9,5,17.98,C
1979,9,6,16.92,C
1979,9,7,24.09,C
1979,9,8,25.72,C
1979,9,9,15.75,C
1979,9,10,12.02,C
1979,9,11,3.66,C
1979,9,12,8.95,C
1979,9,13,19.76,C
1979,9,14,24.30,C
1979,9,15,23.47,C
1979,9,16,24.16,C
1979,9,17,12.70,C
1979,9,18,12.69,C
1979,9,19,10.29,C
1979,9,20,7.30,C
1979,9,21,20.10,C
1979,9,22,18.24,C
1979,9,23,0.48,C
1979,9,24,7.01,C
1979,9,25,17.63,C
1979,9,26,10.01,C
1979,9,27,13.56,C
1979,9,28,21.09,C
1979,9,29,21.56,C
1979,9,30,20.04,C
1979,10,1,19.84,C
1979,10,2,17.82,C
1979,10,3,21.37,C
1979,10,4,20.44,C
1979,10,5,23.16,C
1979,10,6,23.04,C
1979,10,7,22.40,C
1979,10,8,19.46,C
1979,10,9,20.73,C
1979,10,10,21.65,C
1979,10,11,20.36,C
1979,10,12,21.76,C
1979,10,13,22.09,C
1979,10,14,22.22,C
1979,10,15,19.37,C
1979,10,16,18.94,C
1979,10,17,20.61,C
1979,10,18,21.04,C
1979,10,19,19.46,C
1979,10,20,18.80,C
1979,10,21,19.72,C
1979,10,22,19.08,C
1979,10,23,20.57,C
1979,10,24,18.76,C
1979,10,25,19.39,C
1979,10,26,17.98,C
1979,10,27,19.17,C
1979,10,28,16.17,C
1979,10,29,15.87,C
1979,10,30,15.83,C
1979,10,31,16.76,C
1979,11,1,9.14,C
1979,11,2,8.24,C
1979,11,3,12.59,C
1979,11,4,4.35,C
1979,11,5,7.30,C
1979,11,6,14.92,C
1979,11,7,13.78,C
1979,11,8,6.94,C
1979,11,9,4.28,C
1979,11,10,9.10,C
1979,11,11,14.89,C
1979,11,12,13.89,C
1979,11,13,15.30,C
1979,11,14,15.35,C
1979,11,15,15.14,C
1979,11,16,7.16,C
1979,11,17,6.52,C
1979,11,18,12.43,C
1979,11,19,16.40,C
1979,11,20,10.35,C
1979,11,21,9.52,C
1979,11,22,8.68,C
1979,11,23,9.07,C
1979,11,24,10.54,C
1979,11,25,14.65,C
1979,11,26,10.96,C
1979,11,27,12.03,C
1979,11,28,15.41,C
1979,11,29,14.66,C
1979,11,30,13.15,C
1979,12,1,13.32,C
1979,12,2,13.14,C
1979,12,3,6.01,C
1979,12,4,13.30,C
1979,12,5,13.27,C
1979,12,6,11.92,C
1979,12,7,10.46,C
1979,12,8,12.43,C
1979,12,9,12.95,C
1979,12,10,12.52,C
1979,12,11,12.42,C
1979,12,12,11.76,C
1979,12,13,12.27,C
1979,12,14,11.70,C
1979,12,15,13.03,C
1979,12,16,13.34,C
1979,12,17,13.20,C
1979,12,18,2.86,C
1979,12,19,9.87,C
1979,12,20,12.97,C
1979,12,21,12.08,C
1979,12,22,12.83,C
1979,12,23,11.45,C
1979,12,24,14.42,C
1979,12,25,14.41,C
1979,12,26,12.32,C
1979,12,27,13.79,C
1979,12,28,13.14,C
1979,12,29,12.17,C
1979,12,30,12.82,C
1979,12,31,13.72,C
1980,1,1,13.40,C
1980,1,2,13.44,C
1980,1,3,11.63,C
1980,1,4,6.18,C
1980,1,5,5.32,C
1980,1,6,12.32,C
1980,1,7,13.31,C
1980,1,8,6.22,C
1980,1,9,12.94,C
1980,1,10,13.53,C
1980,1,11,12.26,C
1980,1,12,7.03,C
1980,1,13,3.75,C
1980,1,14,1.18,C
1980,1,15,5.54,C
1980,1,16,10.91,C
1980,1,17,8.31,C
1980,1,18,14.46,C
1980,1,19,13.00,C
1980,1,20,12.42,C
1980,1,21,3.42,C
1980,1,22,7.70,C
1980,1,23,13.52,C
1980,1,24,14.63,C
1980,1,25,11.44,C
1980,1,26,7.07,C
1980,1,27,9.22,C
1980,1,28,5.70,C
1980,1,29,4.50,C
1980,1,30,1.85,C
1980,1,31,2.12,C
1980,2,1,1.40,C
1980,2,2,1.52,C
1980,2,3,2.06,C
1980,2,4,0.43,C
1980,2,5,1.89,C
1980,2,6,1.60,C
1980,2,7,1.20,C
1980,2,8,1.93,C
1980,2,9,3.82,C
1980,2,10,4.70,C
1980,2,11,10.12,C
1980,2,12,11.54,C
1980,2,13,16.24,C
1980,2,14,15.42,C
1980,2,15,16.35,C
1980,2,16,17.35,C
1980,2,17,7.63,C
1980,2,18,15.30,C
